-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2021 through 12/31/2021 
Location: Latitude  -26.1987   Longitude 28.0448 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1538.19 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (Wh/m^2) 
CLRSKY_SFC_SW_DWN     CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (Wh/m^2) 
-END HEADER-
YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN
2021,1,1,2,0.0,0.0
2021,1,1,3,0.0,0.0
2021,1,1,4,0.0,0.0
2021,1,1,5,23.06,20.4
2021,1,1,6,136.53,186.92
2021,1,1,7,289.36,418.35
2021,1,1,8,459.91,633.85
2021,1,1,9,691.0,829.35
2021,1,1,10,805.84,985.8
2021,1,1,11,849.12,1067.98
2021,1,1,12,876.71,1066.08
2021,1,1,13,824.63,1008.95
2021,1,1,14,652.11,884.75
2021,1,1,15,525.06,698.9
2021,1,1,16,310.87,459.58
2021,1,1,17,157.61,231.08
2021,1,1,18,32.74,46.92
2021,1,1,19,0.0,0.0
2021,1,1,20,0.0,0.0
2021,1,1,21,0.0,0.0
2021,1,1,22,0.0,0.0
2021,1,1,23,0.0,0.0
2021,1,2,0,0.0,0.0
2021,1,2,1,0.0,0.0
2021,1,2,2,0.0,0.0
2021,1,2,3,0.0,0.0
2021,1,2,4,0.0,0.0
2021,1,2,5,13.46,17.58
2021,1,2,6,34.62,171.1
2021,1,2,7,120.41,398.73
2021,1,2,8,209.89,627.77
2021,1,2,9,342.89,828.27
2021,1,2,10,291.07,975.4
2021,1,2,11,379.08,1058.52
2021,1,2,12,461.4,1075.2
2021,1,2,13,366.2,1021.45
2021,1,2,14,317.87,899.27
2021,1,2,15,289.95,720.52
2021,1,2,16,153.86,501.58
2021,1,2,17,97.27,265.05
2021,1,2,18,26.14,57.73
2021,1,2,19,0.0,0.0
2021,1,2,20,0.0,0.0
2021,1,2,21,0.0,0.0
2021,1,2,22,0.0,0.0
2021,1,2,23,0.0,0.0
2021,1,3,0,0.0,0.0
2021,1,3,1,0.0,0.0
2021,1,3,2,0.0,0.0
2021,1,3,3,0.0,0.0
2021,1,3,4,0.0,0.0
2021,1,3,5,22.8,19.45
2021,1,3,6,187.34,192.05
2021,1,3,7,391.44,420.67
2021,1,3,8,589.56,650.25
2021,1,3,9,456.54,854.75
2021,1,3,10,697.38,1002.25
2021,1,3,11,789.33,1082.88
2021,1,3,12,943.62,1100.98
2021,1,3,13,756.97,1043.33
2021,1,3,14,700.7,918.85
2021,1,3,15,536.2,736.8
2021,1,3,16,390.48,507.25
2021,1,3,17,198.49,261.08
2021,1,3,18,53.13,58.02
2021,1,3,19,0.0,0.0
2021,1,3,20,0.0,0.0
2021,1,3,21,0.0,0.0
2021,1,3,22,0.0,0.0
2021,1,3,23,0.0,0.0
2021,1,4,0,0.0,0.0
2021,1,4,1,0.0,0.0
2021,1,4,2,0.0,0.0
2021,1,4,3,0.0,0.0
2021,1,4,4,0.0,0.0
2021,1,4,5,16.6,16.67
2021,1,4,6,166.97,171.58
2021,1,4,7,365.91,397.92
