kW,kVAr
154.2028986,46.66666667
196.8115942,60.86956522
178.5507246,54.7826087
192.7536232,66.95652174
170.4347826,62.89855072
166.3768116,58.84057971
146.0869565,50.72463768
129.8550725,40.57971014
129.8550725,38.55072464
127.826087,40.57971014
123.7681159,38.55072464
109.5652174,38.55072464
101.4492754,40.57971014
95.36231884,40.57971014
115.6521739,44.63768116
154.2028986,71.01449275
146.0869565,81.15942029
186.6666667,95.36231884
215.0724638,97.39130435
211.0144928,101.4492754
206.9565217,99.42028986
261.7391304,105.5072464
227.2463768,97.39130435
223.1884058,109.5652174
265.4589372,113.6231884
235.0241546,107.5362319
219.1304348,113.6231884
202.8985507,107.5362319
206.9565217,101.4492754
235.3623188,107.5362319
251.5942029,107.5362319
249.5652174,99.42028986
215.0724638,79.13043478
235.3623188,81.15942029
190.7246377,68.98550725
184.6376812,68.98550725
154.2028986,60.86956522
168.4057971,66.95652174
164.3478261,52.75362319
178.5507246,52.75362319
219.1304348,73.04347826
247.5362319,79.13043478
194.7826087,58.84057971
192.7536232,58.84057971
241.4492754,91.30434783
263.7681159,103.4782609
239.4202899,101.4492754
196.8115942,93.33333333
261.7391304,115.6521739
286.0869565,119.7101449
308.4057971,123.7681159
253.6231884,105.5072464
253.6231884,115.6521739
257.6811594,97.39130435
186.6666667,71.01449275
178.5507246,68.98550725
176.5217391,66.95652174
166.3768116,60.86956522
152.173913,48.69565217
152.173913,52.75362319
137.9710145,48.69565217
129.8550725,52.75362319
180.5797101,64.92753623
225.2173913,89.27536232
245.5072464,101.4492754
249.5652174,109.5652174
219.1304348,103.4782609
223.1884058,107.5362319
237.3913043,115.6521739
273.9130435,115.6521739
223.1884058,99.42028986
253.6231884,97.39130435
263.7681159,97.39130435
198.8405797,89.27536232
273.9130435,119.7101449
223.1884058,111.5942029
225.2173913,101.4492754
253.6231884,111.5942029
298.2608696,125.7971014
265.7971014,99.42028986
229.2753623,83.1884058
206.9565217,77.10144928
202.8985507,81.15942029
196.8115942,77.10144928
194.7826087,68.98550725
190.7246377,58.84057971
174.4927536,52.75362319
196.8115942,56.8115942
202.8985507,73.04347826
241.4492754,85.2173913
263.7681159,89.27536232
243.4782609,87.24637681
265.7971014,95.36231884
282.0289855,107.5362319
255.6521739,107.5362319
198.8405797,93.33333333
298.2608696,131.884058
